pointid,grid_code,xcoord,ycoord
"101",8.75925000000,-73.8935653827299,40.8964643420964
"102",8.56589000000,-73.8900061478169,40.8964610056751
"103",9.17517000000,-73.8864469132671,40.8964575595168
"104",9.87361000000,-73.8828876790922,40.8964540036216
"105",10.27150000000,-73.879328445304,40.8964503379894
"106",9.56711000000,-73.8757692119142,40.8964465626204
"107",9.43931000000,-73.8722099789346,40.8964426775144
"108",9.75994000000,-73.868650746377,40.8964386826716
"109",10.03870000000,-73.8650915142531,40.896434578092
"110",10.36580000000,-73.8615322825747,40.8964303637755
"111",10.09550000000,-73.8579730513534,40.8964260397222
"112",10.12910000000,-73.8544138206011,40.8964216059322
"113",9.75126000000,-73.8508545903295,40.8964170624054
"114",9.43307000000,-73.8472953605504,40.8964124091418
"115",9.30748000000,-73.8437361312754,40.8964076461415
"116",9.13598000000,-73.8401769025165,40.8964027734046
"117",8.56514000000,-73.9184833484763,40.8937838587567
"118",8.72589000000,-73.9149242559623,40.8937812905975
"119",9.09391000000,-73.9113651637293,40.8937786127057
"120",9.34147000000,-73.9078060717889,40.8937758250812
"121",8.89970000000,-73.9042469801529,40.8937729277241
"122",8.89971000000,-73.9006878888331,40.8937699206344
"123",9.07025000000,-73.8971287978411,40.8937668038121
"124",8.74018000000,-73.8935697071888,40.8937635772572
"125",8.93791000000,-73.8900106168879,40.8937602409697
"126",9.66949000000,-73.8864515269501,40.8937567949497
"127",11.83230000000,-73.8828924373872,40.8937532391972
"128",9.76808000000,-73.879333348211,40.8937495737121
"129",9.23718000000,-73.8757742594331,40.8937457984945
"130",8.99487000000,-73.8722151710654,40.8937419135445
"131",9.25861000000,-73.8686560831196,40.893737918862
"132",9.70289000000,-73.8650969956074,40.893733814447
"133",10.31800000000,-73.8615379085407,40.8937296002996
"134",10.93260000000,-73.8579788219311,40.8937252764199
"135",10.24630000000,-73.8544197357904,40.8937208428077
"136",9.66918000000,-73.8508606501303,40.8937162994632
"137",9.37650000000,-73.8473015649626,40.8937116463863
"138",9.45158000000,-73.8437424802991,40.8937068835771
"139",9.34147000000,-73.8401833961515,40.8937020110357
"140",9.72702000000,-73.8366243125316,40.893697028762
"141",10.36880000000,-73.833065229451,40.893691936756
"142",8.82725000000,-73.9184866603802,40.891083091738
"143",9.23551000000,-73.9149277124669,40.8910805236819
"144",9.58339000000,-73.9113687648345,40.8910778458974
"145",9.79016000000,-73.9078098174946,40.8910750583848
"146",9.26960000000,-73.9042508704591,40.891072161144
"147",9.13132000000,-73.9006919237397,40.8910691541749
"148",9.59240000000,-73.8971329773482,40.8910660374777
"149",9.29417000000,-73.8935740312963,40.8910628110522
"150",9.48034000000,-73.8900150855957,40.8910594748986
"151",10.92870000000,-73.8864561402582,40.8910560290169
"152",9.59073000000,-73.8828971952956,40.891052473407
"153",9.32191000000,-73.8793382507196,40.891048808069
"154",8.82104000000,-73.8757793065419,40.8910450330029
"155",8.78736000000,-73.8722203627743,40.8910411482087
"156",8.96241000000,-73.8686614194285,40.8910371536865
"157",9.62501000000,-73.8651024765164,40.8910330494362
"158",10.28710000000,-73.8615435340496,40.8910288354579
"159",10.54960000000,-73.8579845920399,40.8910245117517
"160",10.03550000000,-73.854425650499,40.8910200783174
"161",9.63862000000,-73.8508667094387,40.8910155351552
"162",9.59843000000,-73.8473077688707,40.891010882265
"163",9.63939000000,-73.8437488288069,40.891006119647
"164",9.68022000000,-73.8401898892589,40.891001247301
"165",10.13090000000,-73.8366309502385,40.8909962652272
"166",10.86960000000,-73.8330720117574,40.8909911734255
"167",11.28840000000,-73.8295130738274,40.890985971896
"168",11.56570000000,-73.8259541364602,40.8909806606388
"169",11.64000000000,-73.8223951996676,40.8909752396537
"170",11.82470000000,-73.8188362634614,40.890969708941
"171",9.00709000000,-73.918489972015,40.8883823233595
"172",9.45087000000,-73.9149311686906,40.8883797554064
"173",10.22770000000,-73.911372365647,40.8883770777295
